time,life-time,size,area,mass,radius
2228,2,3,3,829,1.0
2230,1,1,1,830,0.0
2231,4,4,4,831,1.4142135623730951
2232,49,175,175,822,15.652475842498529
2233,14,27,23,818,4.47213595499958
2235,32,103,101,812,17.0
2239,3,3,3,813,2.0
2243,2,2,2,817,1.0
2245,15,36,36,817,7.0710678118654755
2248,3,4,4,818,2.0
2249,6,6,6,819,2.8284271247461903
2251,6,9,9,816,3.605551275463989
2252,8,12,12,817,3.605551275463989
2257,2,2,2,820,1.0
2258,63,286,147,806,18.384776310850235
2260,2,2,2,807,1.0
2263,12,18,18,809,6.324555320336759
2266,5,12,12,812,3.1622776601683795
2268,2,2,2,814,1.0
2273,50,167,60,816,9.899494936611665
2275,3,3,3,818,2.0
2276,9,14,14,817,5.0990195135927845
2281,8,15,15,822,4.47213595499958
2283,20,58,58,822,7.810249675906654
2286,4,5,5,824,2.23606797749979
2288,3,4,4,824,1.4142135623730951
2292,2,2,2,828,1.0
2295,22,117,117,820,10.44030650891055
2296,3,4,4,821,1.4142135623730951
2299,2,2,2,824,1.0
2301,24,44,44,824,7.0710678118654755
2305,44,157,65,826,12.727922061357855
2308,3,4,4,829,1.4142135623730951
2309,2,3,3,828,1.0
2311,12,27,19,826,3.605551275463989
2315,3,6,6,827,2.0
2316,34,123,115,819,11.180339887498949
2318,40,113,75,815,8.246211251235321
2319,5,6,6,816,2.0
2321,1,1,1,816,0.0
2328,33,136,58,818,8.48528137423857
2331,5,7,7,817,3.1622776601683795
2332,1,1,1,817,0.0
2333,5,7,7,818,2.23606797749979
2334,42,163,88,810,9.848857801796104
2335,45,129,65,801,8.48528137423857
2338,1,1,1,804,0.0
2342,2,2,2,807,1.0
2343,18,82,47,804,8.48528137423857
2348,40,155,155,802,18.601075237738275
2349,13,15,15,802,6.082762530298219
2353,5,13,13,806,3.1622776601683795
2356,1,1,1,809,0.0
2358,11,21,21,811,4.47213595499958
2360,5,7,7,813,3.0
2361,1,1,1,814,0.0
2362,16,43,43,812,11.40175425099138
2364,3,3,3,814,1.4142135623730951
2369,7,11,11,819,3.1622776601683795
2370,1,1,1,820,0.0
2371,1,1,1,821,0.0
2373,45,115,69,822,7.211102550927978
2376,1,1,1,825,0.0
2378,20,83,83,822,12.649110640673518
2380,24,90,90,820,9.433981132056603
2382,27,147,81,819,9.486832980505138
2384,11,20,20,815,5.385164807134504
2385,8,12,12,816,5.0
2386,23,60,48,810,8.94427190999916
2388,13,29,21,812,5.385164807134504
2393,21,28,28,817,4.47213595499958
2397,28,86,50,817,8.54400374531753
2399,9,37,37,819,6.324555320336759
2404,5,6,6,822,2.8284271247461903
2410,6,9,9,828,3.1622776601683795
2414,3,5,5,831,2.0
2415,28,114,110,826,11.313708498984761
2418,7,11,11,829,4.47213595499958
2419,9,28,24,823,4.123105625617661
2421,10,35,33,821,4.242640687119285
2422,47,306,142,812,11.180339887498949
2423,5,7,7,812,3.1622776601683795
